Title,Content
good product   safes the day ,make sure to follow the instructions and take one or two extra if you are a big guy  don t expect to be at      the next day  but at least you don t die and will be able to fulfill your adult obligations 
too good to be tru,followed exactly as instructions stated  didn t work at all for me and any of my   girl friends  we all took before and after a night of drinking  didn t work for one of us  all felt like crap the next day  waste of     knew it was too good to be tru
didn t work  ,it doesn t make much difference in how you feel next morning so i don t really recommend it to anyone 
great for migraine sufferer ,i bought flyby specifically for big nights out  but after seeing how great that work  i ve started taking them almost daily  regardless of drinking  i ve had migraines almost all my life  i ve been getting botox for about the last year  and just started aimovig a couple months ago  i ve taken all the different prescribed daily medications as preventatives and take maxalt  rizatriptan  regularly at the onset of a migraine  i always take a maxalt before bed after during drinking so i dont die in the morning  that said  i started taking flyby a month or so ago and  well  i m impressed  it has actually changed my way of thinking about a migraine  while no one knows exactly what causes these incapacitating day ruiners  its my opinion we must be lacking something  a vitamin  a protein  im not sure  but whatever it is we lack  flyby replaces  years ago  i tried acupuncture for the migraines  unfortunately  they didn t do much  but i remember the dr told me my liver was  hot   working in overdrive  and that i needed to avoid spicy foods  greasy foods  and i needed to drink a nasty tea of his  ughhhh  i wasn t into it  and i like my hot and spicy foods  so needless to say  he wasn t my cure  but that resonated with me because flyby discusses alcohol s affect on the liver  so perhaps in their quest to eliminate hangovers  they ve also stumbled across the perfect mix of vitamins for migraine sufferers as well  as for me  in the last month that i ve been taking it  i ve only taken   maxalts  and on the bigger  boozier  nights  i ve replaced maxalt with ibuprofen  which is nothing short of amazing for me 
another one of my must haves for festiv,a buddy of mine swears by flyby  he always raves about how well it works for him so i finally decided to give it a try  i wouldn t say i m prone to hangovers but i do have those days where i wake up with a killer headache  it usually goes away after a while but i d gladly skip it altogether  anyways so i bought a bottle of the stuff from amazon  seemed a little pricey given that theres only    capsules but if it works  i m all up for it  the timing was actually pretty good  i had a music festival that i was going to the day after i received the product so i went and gave it a try  my ears are usually the first thing to bother me at festivals but i got some  music earplugs  to help reduce the stress on my eardrums  i was hoping that flyby would be another  life hack  i could use for festivals  the label says that you need to take three capsules before you start drinking so that s what i did  i ended up drinking a fair bit that night so i m glad i brought them  it was pretty late when i went to bed  i ended up taking another three capsules and passed out shortly afterward  the next morning when i woke up  i didn t have the usual headache that plagues me  i felt a little tired and dehydrated but that s nothing a little water can t fix  so i would say that the capsules do work i can see why my friend always talks about them  the only thing is that i wish you didn t have to take so many  in total  you have to take six capsules so a bottle really won t last you long at all  i read that some people just take the three beforehand and it works so i m gonna try that next time  the capsules themselves are fairly large as well so they can be difficult to swallow for some people  a list of pros and cons for those who don t want to read the wall of text     pros     it works  you ll feel a lot better in the morning compared to if you didn t take the capsules    the capsules don t have any weird taste    you can easily take it out with you so that you can take it when you have to take it    you won t feel as dehydrated the next day    cons     you have to take six capsules in total each time before and after drinking    i wish it was cheaper    it requires a bit of thinking and planning on your part    the capsules are big at least its a lot bigger than what i m used to    in conclusion  this is a good product that helps with preventing hangovers  i wouldn t say that you ll feel      the next morning if you take them but at the very least you ll notice a difference  for me  the headaches were minimal the following day  i m not a fan of having to take six capsules each time but at least it works  it can t hurt to try anyway so i would recommend it anyway  i ll probably give it four and a half stars 
fake new,i had a bottle and a half of wine last night and took these as directed  i ve honestly never felt this terrible in my life  the wife as well  very disappointing 
didn t work ,i tried it one night having some drinks  took   before and   after as instructed  woke up still feeling sick  i thought maybe it was because i was drinking hard liquor  so i tried it another time with just light beer  still felt sick  even with only beers 
it works ,i was a little apprehensive before using the product  this product works as advertised  if i can find any shortcomings in this product it would be the recommended doses  instead of swallowing    it could have been   
magical unicorn pil,i was a skeptic when buying these  i suffer from horrible hangovers that have left me bed ridden for the next day  headache  vomiting  dehydration  you name it and i suffer  i bought these for a girls weekend trip to new york and i knew we were going to be waking up drinking bloody marys and continuing the whole day with a variety of drinks until bed  no joke  we drank for    hours straight  i took   in the morning before we started and chugged another   with water before bed  i woke up feeling good  no headaches  no nausea  i felt a little tired but that was probably due to lack of quality sleep  i was able to continue another day of sightseeing and bar hopping  these pills work and now my friends have since bought their own  we call them our magical unicorn pills  i usually don t over indulge but on occasion the opportunity presents itself and i am now prepared 
reliable hangover remedi,works as advertised  take the recommended dosage prior to drinking on a full stomach  never a good idea to drink on an empty stomach   then recommended dosage with glass of water after drinking prior to bed  while i don t wake up feeling      ready to conquer the day  i m at least functional when in the past my hangovers had me in bed the entire day  or longer   the only problem i have had is sometimes i forget to take the dosage before bed when i get home from a night of drinking  when i go out with friends  i tend to drink much more than the average person and often mix alcohols which likely cause the severity of my hangovers  while this pill still helps me  i m sure those who drink moderately and feel bad the next day would see a greater effect of the pill  i would recommend this product 
